"notebook","target_table","source_column","target_column","method","cell_number","evidence"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","group_sub_type","group_sub_type","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","group_type","group_type","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","item_desc","item_desc","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","line_type","line_type","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","ocs_code","ocs_code","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","paid_by","paid_by","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","payment_run_id","payment_run_id","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","schedule_id","schedule_id","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","sum_amount_paid","sum_amount_paid","compare_cols_identity","6","compare_cols list"
"nb_unmapped_pharm_pay_fact_ora_to_fin","finance.fin_unmapped_pharm_pay_fact","year_month","year_month","compare_cols_identity","6","compare_cols list"
